,PageID,VisitID,PageName,CatName,CatID,ExtCatName,ExtCatID,TopicName,TopicID,TimeOnPage,PageScore,SequenceNumber,Referrer,Day,Hour,Length_seconds,Length_pagecount,Type
27,3065,1189,CATALOG,Info,4,Send catalog,7,In general,1000,"(27.39, 82.2]",88,7,URI_0,Monday,0.0,540.0,7.0,
49,3065,1200,CATALOG,Info,4,Send catalog,7,In general,1000,"(82.2, 134.4]",203,2,URI_16,Monday,6.0,60.0,2.0,Fulltext
67,3065,1207,CATALOG,Info,4,Send catalog,7,In general,1000,"(27.39, 82.2]",71,4,URI_93,Monday,7.0,120.0,4.0,Partners
111,3065,1226,CATALOG,Info,4,Send catalog,7,In general,1000,"(27.39, 82.2]",101,2,URI_0,Monday,9.0,60.0,2.0,
175,3118,1259,APPLICATION,Application,5,Application,9,In general,1000,"(27.39, 82.2]",30,1,URI_45,Monday,10.0,300.0,7.0,Fulltext
179,3065,1259,CATALOG,Info,4,Send catalog,7,In general,1000,"(27.39, 82.2]",71,4,URI_45,Monday,10.0,300.0,7.0,Fulltext
235,3065,1280,CATALOG,Info,4,Send catalog,7,In general,1000,"(27.39, 82.2]",92,8,URI_0,Monday,10.0,540.0,8.0,
377,3065,1328,CATALOG,Info,4,Send catalog,7,In general,1000,"(27.39, 82.2]",101,2,URI_0,Monday,12.0,420.0,6.0,
444,3065,1358,CATALOG,Info,4,Send catalog,7,In general,1000,"(27.39, 82.2]",62,3,URI_80,Monday,13.0,120.0,5.0,Fulltext
445,3065,1358,CATALOG,Info,4,Send catalog,7,In general,1000,"(27.39, 82.2]",78,5,URI_80,Monday,13.0,120.0,5.0,Fulltext
466,3065,1371,CATALOG,Info,4,Send catalog,7,In general,1000,"(134.4, 186.6]",429,4,URI_9,Monday,13.0,60.0,4.0,Catalogue
494,3065,1385,CATALOG,Info,4,Send catalog,7,In general,1000,"(82.2, 134.4]",251,3,URI_42,Monday,14.0,480.0,10.0,Fulltext
645,3065,1443,CATALOG,Info,4,Send catalog,7,In general,1000,"(27.39, 82.2]",125,3,URI_42,Monday,15.0,480.0,9.0,Fulltext
701,3065,1468,CATALOG,Info,4,Send catalog,7,In general,1000,"(82.2, 134.4]",335,6,URI_111,Monday,16.0,1380.0,16.0,
