,PageID,VisitID,PageName,CatName,CatID,ExtCatName,ExtCatID,TopicName,TopicID,TimeOnPage,PageScore,SequenceNumber,Referrer,Day,Hour,Length_seconds,Length_pagecount,Type
37,3066,1192,DISCOUNT,Info,4,Sales,8,In general,1000,"(27.39, 82.2]",143,4,URI_9,Monday,1.0,300.0,8.0,Catalogue
38,3066,1192,DISCOUNT,Info,4,Sales,8,In general,1000,"(27.39, 82.2]",83,6,URI_9,Monday,1.0,300.0,8.0,Catalogue
56,3075,1204,WHOWEARE,Info,4,Who we are,10,In general,1000,"(27.39, 82.2]",101,2,URI_80,Monday,7.0,120.0,6.0,Fulltext
92,3097,1216,HOWTOJOIN,Trip,3,undetected,-1,exotica,5,"(27.39, 82.2]",191,9,URI_42,Monday,9.0,1200.0,11.0,Fulltext
94,3099,1216,DISCOUNT,Info,4,Sales,8,In general,1000,"(27.39, 82.2]",101,11,URI_42,Monday,9.0,1200.0,11.0,Fulltext
234,3066,1280,DISCOUNT,Info,4,Sales,8,In general,1000,"(238.8, 291.0]",670,6,URI_0,Monday,10.0,540.0,8.0,
242,3066,1284,DISCOUNT,Info,4,Sales,8,In general,1000,"(27.39, 82.2]",62,3,URI_0,Monday,10.0,240.0,3.0,
245,3066,1285,DISCOUNT,Info,4,Sales,8,In general,1000,"(291.0, 343.2]",629,3,URI_0,Monday,11.0,240.0,3.0,
266,3138,1294,INSURANCE,Info,1,Insurance,6,In general,1000,"(27.39, 82.2]",71,4,URI_111,Monday,11.0,120.0,4.0,
408,3066,1343,DISCOUNT,Info,4,Sales,8,In general,1000,"(27.39, 82.2]",50,2,URI_0,Monday,12.0,60.0,2.0,
411,3075,1345,WHOWEARE,Info,4,Who we are,10,In general,1000,"(27.39, 82.2]",101,2,URI_137,Monday,12.0,420.0,4.0,Partners
553,3075,1408,WHOWEARE,Info,4,Who we are,10,In general,1000,"(27.39, 82.2]",62,3,URI_42,Monday,14.0,60.0,3.0,Fulltext
559,3075,1410,WHOWEARE,Info,4,Who we are,10,In general,1000,"(134.4, 186.6]",377,3,URI_39,Monday,14.0,240.0,5.0,Fulltext
573,3075,1416,WHOWEARE,Info,4,Who we are,10,In general,1000,"(27.39, 82.2]",30,1,URI_0,Monday,14.0,180.0,7.0,
594,3066,1427,DISCOUNT,Info,4,Sales,8,In general,1000,"(82.2, 134.4]",251,3,URI_0,Monday,15.0,180.0,4.0,
644,3066,1443,DISCOUNT,Info,4,Sales,8,In general,1000,"(82.2, 134.4]",203,2,URI_42,Monday,15.0,480.0,9.0,Fulltext
684,3075,1465,WHOWEARE,Info,4,Who we are,10,In general,1000,"(27.39, 82.2]",125,3,URI_78,Monday,16.0,180.0,4.0,Partners
692,3075,1468,WHOWEARE,Info,4,Who we are,10,In general,1000,"(656.4, 708.6]",1944,7,URI_111,Monday,16.0,1380.0,16.0,
700,3066,1468,DISCOUNT,Info,4,Sales,8,In general,1000,"(82.2, 134.4]",203,2,URI_111,Monday,16.0,1380.0,16.0,
716,3066,1472,DISCOUNT,Info,4,Sales,8,In general,1000,"(291.0, 343.2]",300,1,URI_111,Monday,16.0,1080.0,10.0,
753,3075,1486,WHOWEARE,Info,4,Who we are,10,In general,1000,"(27.39, 82.2]",50,2,URI_0,Monday,16.0,60.0,2.0,
918,3075,1529,WHOWEARE,Info,4,Who we are,10,In general,1000,"(27.39, 82.2]",50,2,URI_9,Monday,18.0,120.0,5.0,Catalogue
1089,3066,1597,DISCOUNT,Info,4,Sales,8,In general,1000,"(27.39, 82.2]",62,3,URI_111,Monday,22.0,780.0,3.0,
1109,3066,1608,DISCOUNT,Info,4,Sales,8,In general,1000,"(27.39, 82.2]",62,3,URI_68,Monday,22.0,240.0,9.0,Partners
1149,3320,1630,WHOWEARE,Info,4,Who we are,10,In general,1000,"(27.39, 82.2]",60,1,URI_45,Tuesday,6.0,60.0,2.0,Fulltext
1179,3075,1642,WHOWEARE,Info,4,Who we are,10,In general,1000,"(27.39, 82.2]",83,6,URI_106,Tuesday,8.0,840.0,6.0,Partners
1288,3075,1695,WHOWEARE,Info,4,Who we are,10,In general,1000,"(27.39, 82.2]",30,1,URI_111,Tuesday,9.0,60.0,5.0,
1289,3075,1695,WHOWEARE,Info,4,Who we are,10,In general,1000,"(27.39, 82.2]",125,3,URI_111,Tuesday,9.0,60.0,5.0,
1291,3138,1695,INSURANCE,Info,1,Insurance,6,In general,1000,"(27.39, 82.2]",50,2,URI_111,Tuesday,9.0,60.0,5.0,
1337,3075,1707,WHOWEARE,Info,4,Who we are,10,In general,1000,"(27.39, 82.2]",50,2,URI_0,Tuesday,10.0,60.0,2.0,
1372,3066,1724,DISCOUNT,Info,4,Sales,8,In general,1000,"(27.39, 82.2]",62,3,URI_0,Tuesday,10.0,720.0,3.0,
1452,3066,1752,DISCOUNT,Info,4,Sales,8,In general,1000,"(1074.0, 1126.2]",2818,5,URI_0,Tuesday,11.0,1320.0,8.0,
1527,3075,1786,WHOWEARE,Info,4,Who we are,10,In general,1000,"(27.39, 82.2]",116,18,URI_80,Tuesday,12.0,1620.0,29.0,Fulltext
1528,3075,1786,WHOWEARE,Info,4,Who we are,10,In general,1000,"(27.39, 82.2]",259,28,URI_80,Tuesday,12.0,1620.0,29.0,Fulltext
1542,3138,1786,INSURANCE,Info,1,Insurance,6,In general,1000,"(134.4, 186.6]",689,17,URI_80,Tuesday,12.0,1620.0,29.0,Fulltext
1695,3075,1859,WHOWEARE,Info,4,Who we are,10,In general,1000,"(27.39, 82.2]",62,3,URI_101,Tuesday,13.0,1080.0,3.0,OwnWebs
1793,3075,1910,WHOWEARE,Info,4,Who we are,10,In general,1000,"(1178.4, 1230.6]",2031,2,URI_101,Tuesday,15.0,1680.0,8.0,OwnWebs
1880,3075,1952,WHOWEARE,Info,4,Who we are,10,In general,1000,"(27.39, 82.2]",125,3,URI_0,Tuesday,16.0,120.0,5.0,
2017,3075,2011,WHOWEARE,Info,4,Who we are,10,In general,1000,"(27.39, 82.2]",101,2,URI_0,Tuesday,18.0,120.0,5.0,
2018,3075,2011,WHOWEARE,Info,4,Who we are,10,In general,1000,"(27.39, 82.2]",143,4,URI_0,Tuesday,18.0,120.0,5.0,
2078,3075,2036,WHOWEARE,Info,4,Who we are,10,In general,1000,"(27.39, 82.2]",50,2,URI_0,Tuesday,19.0,60.0,2.0,
2332,3075,2139,WHOWEARE,Info,4,Who we are,10,In general,1000,"(27.39, 82.2]",62,3,URI_108,Wednesday,7.0,60.0,3.0,Partners
2419,3066,2168,DISCOUNT,Info,4,Sales,8,In general,1000,"(552.0, 604.2]",1015,2,URI_0,Wednesday,9.0,660.0,4.0,
2705,3066,2302,DISCOUNT,Info,4,Sales,8,In general,1000,"(27.39, 82.2]",143,4,URI_0,Wednesday,12.0,120.0,6.0,
2740,3066,2319,DISCOUNT,Info,4,Sales,8,In general,1000,"(27.39, 82.2]",50,2,URI_0,Wednesday,12.0,60.0,2.0,
2845,3075,2373,WHOWEARE,Info,4,Who we are,10,In general,1000,"(27.39, 82.2]",50,2,URI_5,Wednesday,14.0,180.0,2.0,Catalogue
2905,3075,2398,WHOWEARE,Info,4,Who we are,10,In general,1000,"(27.39, 82.2]",60,1,URI_111,Wednesday,14.0,60.0,3.0,
2946,3075,2417,WHOWEARE,Info,4,Who we are,10,In general,1000,"(27.39, 82.2]",50,2,URI_39,Wednesday,15.0,60.0,2.0,Fulltext
3025,3075,2448,WHOWEARE,Info,4,Who we are,10,In general,1000,"(27.39, 82.2]",71,4,URI_126,Wednesday,15.0,120.0,8.0,Partners
3078,3075,2465,WHOWEARE,Info,4,Who we are,10,In general,1000,"(27.39, 82.2]",101,2,URI_45,Wednesday,16.0,1800.0,21.0,Fulltext
3079,3075,2465,WHOWEARE,Info,4,Who we are,10,In general,1000,"(27.39, 82.2]",229,17,URI_45,Wednesday,16.0,1800.0,21.0,Fulltext
3080,3075,2465,WHOWEARE,Info,4,Who we are,10,In general,1000,"(82.2, 134.4]",473,19,URI_45,Wednesday,16.0,1800.0,21.0,Fulltext
3097,3075,2468,WHOWEARE,Info,4,Who we are,10,In general,1000,"(343.2, 395.4]",939,5,URI_39,Wednesday,16.0,600.0,9.0,Fulltext
3108,3075,2471,WHOWEARE,Info,4,Who we are,10,In general,1000,"(27.39, 82.2]",71,4,URI_116,Wednesday,16.0,60.0,4.0,Other
3119,3075,2480,WHOWEARE,Info,4,Who we are,10,In general,1000,"(27.39, 82.2]",71,4,URI_119,Wednesday,17.0,480.0,4.0,OwnWebs
3172,3066,2504,DISCOUNT,Info,4,Sales,8,In general,1000,"(134.4, 186.6]",304,2,URI_0,Wednesday,17.0,660.0,5.0,
3173,3066,2504,DISCOUNT,Info,4,Sales,8,In general,1000,"(27.39, 82.2]",156,5,URI_0,Wednesday,17.0,660.0,5.0,
3199,3066,2511,DISCOUNT,Info,4,Sales,8,In general,1000,"(27.39, 82.2]",83,6,URI_0,Wednesday,18.0,300.0,6.0,
3261,3075,2532,WHOWEARE,Info,4,Who we are,10,In general,1000,"(27.39, 82.2]",213,13,URI_92,Wednesday,19.0,1380.0,14.0,Other
3358,3066,2571,DISCOUNT,Info,4,Sales,8,In general,1000,"(27.39, 82.2]",101,2,URI_0,Wednesday,20.0,300.0,3.0,
3416,3066,2589,DISCOUNT,Info,4,Sales,8,In general,1000,"(82.2, 134.4]",120,1,URI_111,Wednesday,21.0,480.0,5.0,
3531,3075,2634,WHOWEARE,Info,4,Who we are,10,In general,1000,"(27.39, 82.2]",50,2,URI_0,Thursday,1.0,60.0,3.0,
3612,3075,2667,WHOWEARE,Info,4,Who we are,10,In general,1000,"(27.39, 82.2]",78,5,URI_42,Thursday,8.0,420.0,7.0,Fulltext
3623,3075,2670,WHOWEARE,Info,4,Who we are,10,In general,1000,"(27.39, 82.2]",50,2,URI_0,Thursday,8.0,180.0,5.0,
3639,3075,2678,WHOWEARE,Info,4,Who we are,10,In general,1000,"(27.39, 82.2]",30,1,URI_111,Thursday,8.0,1140.0,8.0,
3641,3138,2678,INSURANCE,Info,1,Insurance,6,In general,1000,"(82.2, 134.4]",286,4,URI_111,Thursday,8.0,1140.0,8.0,
3643,3066,2678,DISCOUNT,Info,4,Sales,8,In general,1000,"(27.39, 82.2]",156,5,URI_111,Thursday,8.0,1140.0,8.0,
3837,3066,2755,DISCOUNT,Info,4,Sales,8,In general,1000,"(134.4, 186.6]",304,2,URI_0,Thursday,10.0,600.0,6.0,
3927,3075,2789,WHOWEARE,Info,4,Who we are,10,In general,1000,"(27.39, 82.2]",50,2,URI_0,Thursday,11.0,120.0,5.0,
3928,3138,2789,INSURANCE,Info,1,Insurance,6,In general,1000,"(27.39, 82.2]",78,5,URI_0,Thursday,11.0,120.0,5.0,
4129,3066,2884,DISCOUNT,Info,4,Sales,8,In general,1000,"(27.39, 82.2]",143,4,URI_80,Thursday,14.0,660.0,5.0,Fulltext
4229,3066,2914,DISCOUNT,Info,4,Sales,8,In general,1000,"(238.8, 291.0]",626,5,URI_0,Thursday,15.0,1020.0,6.0,
4414,3075,2984,WHOWEARE,Info,4,Who we are,10,In general,1000,"(27.39, 82.2]",83,6,URI_110,Thursday,16.0,540.0,6.0,
4416,3066,2984,DISCOUNT,Info,4,Sales,8,In general,1000,"(82.2, 134.4]",286,4,URI_110,Thursday,16.0,540.0,6.0,
4544,3723,3052,DISCOUNT,Info,4,Sales,8,In general,1000,"(27.39, 82.2]",60,1,URI_42,Thursday,20.0,60.0,2.0,Fulltext
4545,3724,3052,DISCOUNT,Info,4,Sales,8,In general,1000,"(27.39, 82.2]",50,2,URI_42,Thursday,20.0,60.0,2.0,Fulltext
4601,3075,3078,WHOWEARE,Info,4,Who we are,10,In general,1000,"(238.8, 291.0]",503,3,URI_0,Thursday,22.0,780.0,4.0,
4716,3066,3126,DISCOUNT,Info,4,Sales,8,In general,1000,"(291.0, 343.2]",837,6,URI_0,Friday,8.0,960.0,9.0,
4798,3075,3157,WHOWEARE,Info,4,Who we are,10,In general,1000,"(27.39, 82.2]",95,9,URI_132,Friday,8.0,300.0,9.0,OwnWebs
4860,3066,3182,DISCOUNT,Info,4,Sales,8,In general,1000,"(27.39, 82.2]",50,2,URI_0,Friday,9.0,60.0,2.0,
4968,3066,3237,DISCOUNT,Info,4,Sales,8,In general,1000,"(27.39, 82.2]",50,2,URI_0,Friday,11.0,60.0,4.0,
5017,3075,3250,WHOWEARE,Info,4,Who we are,10,In general,1000,"(27.39, 82.2]",101,2,URI_9,Friday,11.0,840.0,5.0,Catalogue
5018,3075,3250,WHOWEARE,Info,4,Who we are,10,In general,1000,"(27.39, 82.2]",71,4,URI_9,Friday,11.0,840.0,5.0,Catalogue
5133,3075,3308,WHOWEARE,Info,4,Who we are,10,In general,1000,"(27.39, 82.2]",143,4,URI_42,Friday,12.0,420.0,5.0,Fulltext
5409,3075,3403,WHOWEARE,Info,4,Who we are,10,In general,1000,"(82.2, 134.4]",203,2,URI_0,Friday,15.0,120.0,3.0,
5485,3075,3433,WHOWEARE,Info,4,Who we are,10,In general,1000,"(27.39, 82.2]",114,17,URI_7,Friday,16.0,1260.0,18.0,Other
5508,3066,3439,DISCOUNT,Info,4,Sales,8,In general,1000,"(27.39, 82.2]",88,7,URI_93,Friday,16.0,420.0,7.0,Partners
5583,3066,3474,DISCOUNT,Info,4,Sales,8,In general,1000,"(27.39, 82.2]",50,2,URI_0,Friday,17.0,660.0,5.0,
5584,3066,3474,DISCOUNT,Info,4,Sales,8,In general,1000,"(27.39, 82.2]",71,4,URI_0,Friday,17.0,660.0,5.0,
5680,3066,3521,DISCOUNT,Info,4,Sales,8,In general,1000,"(82.2, 134.4]",203,2,URI_0,Friday,20.0,420.0,4.0,
5691,3075,3526,WHOWEARE,Info,4,Who we are,10,In general,1000,"(813.0, 865.2]",1422,2,URI_111,Friday,20.0,1440.0,7.0,
5692,3075,3526,WHOWEARE,Info,4,Who we are,10,In general,1000,"(27.39, 82.2]",143,4,URI_111,Friday,20.0,1440.0,7.0,
5739,3075,3537,WHOWEARE,Info,4,Who we are,10,In general,1000,"(238.8, 291.0]",406,2,URI_0,Friday,21.0,240.0,4.0,
5785,3075,3569,WHOWEARE,Info,4,Who we are,10,In general,1000,"(27.39, 82.2]",60,1,URI_111,Friday,23.0,60.0,2.0,
5963,3075,3676,WHOWEARE,Info,4,Who we are,10,In general,1000,"(27.39, 82.2]",50,2,URI_0,Saturday,16.0,240.0,2.0,
6138,3066,3751,DISCOUNT,Info,4,Sales,8,In general,1000,"(82.2, 134.4]",313,5,URI_111,Saturday,20.0,840.0,11.0,
6540,3075,3904,WHOWEARE,Info,4,Who we are,10,In general,1000,"(27.39, 82.2]",156,5,URI_111,Sunday,14.0,420.0,10.0,
6610,3880,3936,HOWTOJOIN,Trip,3,undetected,-1,undetected,-2,"(27.39, 82.2]",50,2,URI_38,Sunday,16.0,300.0,2.0,Fulltext
6617,3066,3941,DISCOUNT,Info,4,Sales,8,In general,1000,"(27.39, 82.2]",60,1,URI_80,Sunday,16.0,60.0,2.0,Fulltext
6623,3066,3943,DISCOUNT,Info,4,Sales,8,In general,1000,"(27.39, 82.2]",78,5,URI_0,Sunday,16.0,480.0,5.0,
6695,3075,3983,WHOWEARE,Info,4,Who we are,10,In general,1000,"(27.39, 82.2]",101,2,URI_0,Sunday,18.0,120.0,4.0,
6723,3075,3996,WHOWEARE,Info,4,Who we are,10,In general,1000,"(27.39, 82.2]",71,4,URI_138,Sunday,18.0,420.0,4.0,Fulltext
6771,3075,4017,WHOWEARE,Info,4,Who we are,10,In general,1000,"(27.39, 82.2]",62,3,URI_39,Sunday,19.0,60.0,3.0,Fulltext
6900,3075,4068,WHOWEARE,Info,4,Who we are,10,In general,1000,"(27.39, 82.2]",226,16,URI_38,Sunday,22.0,1860.0,17.0,Fulltext
7102,3066,4132,DISCOUNT,Info,4,Sales,8,In general,1000,"(27.39, 82.2]",184,8,URI_42,Monday,8.0,300.0,9.0,Fulltext
7111,3066,4137,DISCOUNT,Info,4,Sales,8,In general,1000,"(27.39, 82.2]",62,3,URI_0,Monday,9.0,1620.0,3.0,
7113,3075,4138,WHOWEARE,Info,4,Who we are,10,In general,1000,"(27.39, 82.2]",50,2,URI_42,Monday,8.0,120.0,2.0,Fulltext
7141,3075,4157,WHOWEARE,Info,4,Who we are,10,In general,1000,"(27.39, 82.2]",156,5,URI_0,Monday,10.0,960.0,7.0,
7142,3075,4157,WHOWEARE,Info,4,Who we are,10,In general,1000,"(82.2, 134.4]",353,7,URI_0,Monday,10.0,960.0,7.0,
7173,3075,4170,WHOWEARE,Info,4,Who we are,10,In general,1000,"(27.39, 82.2]",71,4,URI_80,Monday,10.0,120.0,4.0,Fulltext
7231,3075,4191,WHOWEARE,Info,4,Who we are,10,In general,1000,"(27.39, 82.2]",101,11,URI_42,Monday,11.0,1440.0,26.0,Fulltext
7251,3075,4192,WHOWEARE,Info,4,Who we are,10,In general,1000,"(27.39, 82.2]",62,3,URI_0,Monday,10.0,180.0,3.0,
7305,3075,4223,WHOWEARE,Info,4,Who we are,10,In general,1000,"(27.39, 82.2]",143,4,URI_0,Monday,11.0,600.0,5.0,
7414,3066,4261,DISCOUNT,Info,4,Sales,8,In general,1000,"(238.8, 291.0]",572,4,URI_111,Monday,12.0,360.0,5.0,
7429,3066,4267,DISCOUNT,Info,4,Sales,8,In general,1000,"(27.39, 82.2]",50,2,URI_39,Monday,12.0,60.0,2.0,Fulltext
7435,3138,4271,INSURANCE,Info,1,Insurance,6,In general,1000,"(27.39, 82.2]",50,2,URI_111,Monday,12.0,60.0,2.0,
7455,3066,4279,DISCOUNT,Info,4,Sales,8,In general,1000,"(27.39, 82.2]",101,2,URI_0,Monday,13.0,180.0,5.0,
7466,3075,4285,WHOWEARE,Info,4,Who we are,10,In general,1000,"(27.39, 82.2]",50,2,URI_0,Monday,13.0,60.0,2.0,
7477,3075,4291,WHOWEARE,Info,4,Who we are,10,In general,1000,"(82.2, 134.4]",203,2,URI_9,Monday,13.0,120.0,4.0,Catalogue
7661,3075,4381,WHOWEARE,Info,4,Who we are,10,In general,1000,"(27.39, 82.2]",50,2,URI_9,Monday,15.0,180.0,3.0,Catalogue
7667,3075,4385,WHOWEARE,Info,4,Who we are,10,In general,1000,"(27.39, 82.2]",50,2,URI_15,Monday,15.0,60.0,2.0,Fulltext
7747,3075,4408,WHOWEARE,Info,4,Who we are,10,In general,1000,"(27.39, 82.2]",83,6,URI_0,Monday,16.0,600.0,6.0,
7927,3066,4472,DISCOUNT,Info,4,Sales,8,In general,1000,"(27.39, 82.2]",83,6,URI_0,Monday,18.0,420.0,6.0,
8098,3075,4561,WHOWEARE,Info,4,Who we are,10,In general,1000,"(27.39, 82.2]",125,3,URI_39,Tuesday,1.0,240.0,4.0,Fulltext
8248,3066,4645,DISCOUNT,Info,4,Sales,8,In general,1000,"(27.39, 82.2]",60,1,URI_111,Tuesday,10.0,60.0,2.0,
8321,3075,4680,WHOWEARE,Info,4,Who we are,10,In general,1000,"(27.39, 82.2]",101,2,URI_0,Tuesday,10.0,120.0,4.0,
8322,3066,4680,DISCOUNT,Info,4,Sales,8,In general,1000,"(27.39, 82.2]",71,4,URI_0,Tuesday,10.0,120.0,4.0,
8353,3980,4694,HOWTOJOIN,Trip,3,undetected,-1,Lipari,10,"(291.0, 343.2]",300,1,URI_45,Tuesday,11.0,300.0,2.0,Fulltext
8524,3066,4782,DISCOUNT,Info,4,Sales,8,In general,1000,"(238.8, 291.0]",503,3,URI_0,Tuesday,13.0,480.0,5.0,
8529,3066,4785,DISCOUNT,Info,4,Sales,8,In general,1000,"(27.39, 82.2]",71,4,URI_80,Tuesday,13.0,240.0,4.0,Fulltext
8588,3075,4808,WHOWEARE,Info,4,Who we are,10,In general,1000,"(27.39, 82.2]",125,3,URI_0,Tuesday,14.0,1140.0,10.0,
8589,3075,4808,WHOWEARE,Info,4,Who we are,10,In general,1000,"(552.0, 604.2]",1847,8,URI_0,Tuesday,14.0,1140.0,10.0,
8784,3075,4879,WHOWEARE,Info,4,Who we are,10,In general,1000,"(27.39, 82.2]",62,3,URI_0,Tuesday,15.0,60.0,3.0,
8859,3066,4919,DISCOUNT,Info,4,Sales,8,In general,1000,"(27.39, 82.2]",71,4,URI_0,Tuesday,16.0,180.0,4.0,
8903,3075,4938,WHOWEARE,Info,4,Who we are,10,In general,1000,"(27.39, 82.2]",50,2,URI_0,Tuesday,17.0,660.0,4.0,
8999,3075,5004,WHOWEARE,Info,4,Who we are,10,In general,1000,"(238.8, 291.0]",406,2,URI_0,Tuesday,22.0,540.0,6.0,
9090,3066,5038,DISCOUNT,Info,4,Sales,8,In general,1000,"(27.39, 82.2]",78,5,URI_0,Wednesday,6.0,240.0,5.0,
9130,3066,5049,DISCOUNT,Info,4,Sales,8,In general,1000,"(27.39, 82.2]",60,1,URI_0,Wednesday,7.0,60.0,3.0,
9135,3066,5050,DISCOUNT,Info,4,Sales,8,In general,1000,"(27.39, 82.2]",60,1,URI_0,Wednesday,8.0,1500.0,6.0,
9136,3066,5050,DISCOUNT,Info,4,Sales,8,In general,1000,"(27.39, 82.2]",83,6,URI_0,Wednesday,8.0,1500.0,6.0,
9318,3075,5150,WHOWEARE,Info,4,Who we are,10,In general,1000,"(27.39, 82.2]",78,5,URI_0,Wednesday,11.0,600.0,5.0,
9386,3075,5177,WHOWEARE,Info,4,Who we are,10,In general,1000,"(27.39, 82.2]",88,7,URI_111,Wednesday,12.0,540.0,7.0,
9388,3066,5177,DISCOUNT,Info,4,Sales,8,In general,1000,"(27.39, 82.2]",71,4,URI_111,Wednesday,12.0,540.0,7.0,
9474,3066,5215,DISCOUNT,Info,4,Sales,8,In general,1000,"(82.2, 134.4]",203,2,URI_42,Wednesday,13.0,360.0,5.0,Fulltext
9475,3066,5215,DISCOUNT,Info,4,Sales,8,In general,1000,"(238.8, 291.0]",572,4,URI_42,Wednesday,13.0,360.0,5.0,Fulltext
9694,3075,5294,WHOWEARE,Info,4,Who we are,10,In general,1000,"(27.39, 82.2]",88,7,URI_110,Wednesday,15.0,240.0,7.0,
9711,3138,5303,INSURANCE,Info,1,Insurance,6,In general,1000,"(27.39, 82.2]",125,3,URI_0,Wednesday,16.0,120.0,4.0,
9742,3066,5314,DISCOUNT,Info,4,Sales,8,In general,1000,"(27.39, 82.2]",62,3,URI_111,Wednesday,16.0,300.0,3.0,
9783,3075,5338,WHOWEARE,Info,4,Who we are,10,In general,1000,"(27.39, 82.2]",50,2,URI_0,Wednesday,17.0,60.0,2.0,
9834,4049,5367,HOWTOJOIN,Trip,3,undetected,-1,Tourism,1,"(291.0, 343.2]",300,1,URI_42,Wednesday,19.0,420.0,5.0,Fulltext
9998,3066,5438,DISCOUNT,Info,4,Sales,8,In general,1000,"(27.39, 82.2]",30,1,URI_111,Thursday,6.0,60.0,3.0,
10017,3066,5448,DISCOUNT,Info,4,Sales,8,In general,1000,"(27.39, 82.2]",101,2,URI_0,Thursday,7.0,60.0,4.0,
10167,3066,5502,DISCOUNT,Info,4,Sales,8,In general,1000,"(27.39, 82.2]",101,2,URI_0,Thursday,10.0,1020.0,6.0,
10192,3066,5510,DISCOUNT,Info,4,Sales,8,In general,1000,"(82.2, 134.4]",251,3,URI_0,Thursday,10.0,540.0,7.0,
10193,3066,5510,DISCOUNT,Info,4,Sales,8,In general,1000,"(27.39, 82.2]",88,7,URI_0,Thursday,10.0,540.0,7.0,
10331,3066,5568,DISCOUNT,Info,4,Sales,8,In general,1000,"(447.6, 499.8]",480,1,URI_111,Thursday,12.0,480.0,2.0,
10455,3075,5635,WHOWEARE,Info,4,Who we are,10,In general,1000,"(27.39, 82.2]",71,4,URI_0,Thursday,14.0,120.0,4.0,
10620,3075,5712,WHOWEARE,Info,4,Who we are,10,In general,1000,"(27.39, 82.2]",71,4,URI_80,Thursday,17.0,60.0,6.0,Fulltext
10664,3066,5746,DISCOUNT,Info,4,Sales,8,In general,1000,"(27.39, 82.2]",62,3,URI_0,Thursday,19.0,60.0,3.0,
10759,3075,5803,WHOWEARE,Info,4,Who we are,10,In general,1000,"(82.2, 134.4]",313,5,URI_0,Friday,7.0,1380.0,6.0,
10862,3066,5837,DISCOUNT,Info,4,Sales,8,In general,1000,"(552.0, 604.2]",1259,3,URI_39,Friday,9.0,1140.0,9.0,Fulltext
11122,4165,5964,INSURANCE,Info,1,Insurance,6,In general,1000,"(27.39, 82.2]",60,1,URI_38,Friday,13.0,60.0,3.0,Fulltext
11125,3075,5965,WHOWEARE,Info,4,Who we are,10,In general,1000,"(343.2, 395.4]",609,2,URI_45,Friday,13.0,420.0,3.0,Fulltext
