userId,Action,Adventure,Animation,Children,Comedy,Crime,Documentary,Drama,Fantasy,Film-Noir,Horror,IMAX,Musical,Mystery,Romance,Sci-Fi,Thriller,War,Western
1,89,84,29,42,81,43,0,67,45,1,13,0,22,16,26,40,51,22,7
2,11,3,0,0,7,9,3,16,0,0,1,4,0,2,1,4,9,1,1
3,10,6,0,0,1,0,0,1,3,0,8,0,0,1,0,13,6,0,0
4,18,23,6,9,83,22,2,92,15,3,4,1,15,16,45,6,27,5,8
5,7,6,6,9,13,12,0,24,7,0,1,3,5,1,8,1,8,2,1
6,60,46,14,46,113,29,0,135,25,1,19,3,12,14,67,19,63,11,11
7,48,40,11,11,33,20,0,41,15,2,4,5,8,12,16,30,35,8,0
8,10,8,1,4,21,8,0,18,4,0,2,2,1,3,14,4,15,3,1
9,6,9,1,1,13,6,0,18,2,1,0,1,1,3,4,5,6,2,1
10,23,28,15,13,67,9,0,58,16,0,1,16,8,2,71,3,10,4,0
11,41,17,0,0,10,12,0,23,0,0,1,1,0,3,13,8,30,6,2
12,2,2,1,0,18,1,0,16,4,0,0,0,0,0,21,3,3,1,0
13,10,6,0,0,10,3,0,14,1,0,5,0,0,2,6,5,10,2,1
14,9,8,0,2,12,4,0,24,0,0,1,1,1,2,14,2,11,4,4
15,44,44,19,16,24,17,0,49,11,0,11,14,4,11,13,48,38,5,1
16,23,20,12,8,25,24,1,47,16,5,5,4,0,13,13,16,29,10,1
17,39,35,10,7,19,32,1,51,17,2,3,6,3,10,7,20,27,9,6
18,205,142,31,34,141,137,9,218,52,8,12,37,12,56,42,108,166,16,11
19,87,100,33,55,197,47,0,74,58,8,43,1,22,39,75,60,100,7,7
20,31,70,63,103,93,19,2,66,44,0,10,5,55,13,38,18,26,4,0
21,205,164,48,52,174,65,0,75,50,2,6,57,11,16,58,95,111,8,4
22,21,14,7,7,23,20,2,43,6,1,3,3,1,7,11,6,20,3,1
23,27,18,10,3,24,39,2,76,14,11,3,1,0,22,11,17,38,5,3
24,55,33,2,2,49,23,0,38,15,0,4,10,1,13,31,25,33,7,0
25,15,14,3,3,2,4,0,12,3,0,0,3,0,2,1,9,4,4,0
26,8,4,0,1,5,8,0,8,0,0,1,1,0,1,2,0,13,1,0
27,38,51,17,36,36,6,0,39,16,1,0,2,12,3,22,25,12,12,10
28,157,102,5,4,72,121,2,300,25,5,21,13,4,44,31,104,166,48,23
29,29,20,1,2,9,15,2,49,3,1,2,5,2,7,6,17,20,22,9
30,25,19,5,3,5,7,0,7,4,0,1,8,0,1,2,17,5,1,0
31,15,14,4,6,19,2,1,13,7,0,2,0,5,1,13,8,11,1,0
32,29,17,2,6,41,19,1,44,11,0,2,0,2,7,29,9,31,3,1
33,14,10,6,8,51,24,0,102,5,2,2,1,6,8,48,7,25,8,1
34,44,23,7,1,26,10,0,18,11,0,8,2,0,5,13,19,23,2,2
35,4,5,1,2,10,4,0,8,2,0,0,2,1,1,8,1,4,0,1
36,12,7,0,0,8,10,0,16,1,1,1,0,0,7,7,2,10,4,0
37,6,7,1,2,7,7,0,8,2,0,1,1,2,0,1,4,8,1,1
38,14,12,4,7,31,7,1,29,6,0,1,2,4,3,21,3,15,6,3
39,27,28,20,19,25,23,0,31,15,1,12,1,13,7,8,18,22,1,1
40,21,21,7,17,36,13,0,47,12,0,2,3,6,3,20,8,15,3,6
41,19,20,12,8,78,42,0,108,14,2,7,1,2,15,52,9,42,7,2
42,90,56,5,7,162,56,3,153,19,1,11,2,7,24,78,30,92,18,11
43,31,34,13,32,44,16,0,42,17,0,5,3,12,4,25,15,29,3,3
44,17,16,3,2,18,4,0,9,2,0,2,0,1,1,6,6,13,0,0
45,99,96,31,48,194,47,1,114,39,0,15,7,27,18,65,68,81,14,3
46,18,13,4,4,12,12,0,15,3,0,2,2,3,3,6,7,18,3,3
47,5,9,0,2,19,15,7,92,3,0,2,5,5,6,22,6,15,5,1
48,22,13,4,4,8,2,0,8,5,0,3,2,2,2,4,18,15,0,0
49,7,4,4,5,5,3,0,10,0,0,2,3,0,2,1,9,4,4,0
50,49,44,35,21,85,37,14,109,30,2,10,8,11,20,27,31,45,11,6
51,74,59,13,22,149,45,2,113,36,3,46,4,12,20,63,53,72,11,8
52,73,39,14,13,35,36,3,64,11,0,6,16,3,12,18,27,51,12,2
53,4,1,0,0,6,2,0,10,0,1,1,0,2,1,6,2,3,1,0
54,6,6,3,4,11,7,0,15,3,0,1,2,2,3,6,4,13,3,1
55,7,2,0,0,5,10,0,7,1,0,0,0,0,2,0,1,8,1,0
56,24,12,1,2,16,13,0,17,3,0,3,1,1,2,4,9,21,3,0
57,128,105,31,36,172,54,1,150,42,11,10,4,27,30,82,68,87,33,15
58,24,15,8,10,44,16,0,46,10,0,1,3,9,6,28,8,32,5,3
59,31,20,2,2,21,16,2,58,5,6,5,1,0,17,20,12,39,24,0
60,3,6,2,5,2,6,0,15,2,0,0,1,2,2,5,0,6,3,0
61,10,4,0,0,4,13,0,18,4,0,5,0,0,5,3,8,15,3,3
62,164,129,11,21,88,63,0,142,66,1,21,48,5,42,42,112,112,18,5
63,98,79,33,29,99,53,7,89,35,5,9,19,10,21,30,50,64,15,1
64,121,99,33,49,207,94,6,233,67,3,53,7,28,55,104,57,137,27,9
65,15,7,0,0,5,11,0,25,4,0,0,6,0,6,3,9,12,6,0
66,99,68,16,18,144,58,0,149,39,4,23,1,6,25,59,44,79,14,10
67,20,11,5,5,17,10,0,12,3,0,0,1,0,2,4,9,9,3,2
68,354,260,75,93,447,163,33,424,123,3,77,55,44,69,258,163,284,46,20
69,18,11,0,0,9,7,0,18,1,1,5,0,0,5,4,16,13,2,4
70,3,8,1,4,18,7,2,51,4,0,1,1,0,2,14,6,2,5,1
71,20,15,1,5,7,3,0,5,4,0,0,0,1,2,6,9,13,1,0
72,17,10,0,0,9,8,0,20,0,0,3,2,0,4,8,10,14,4,1
73,63,56,21,21,109,26,0,66,23,0,4,24,4,12,32,31,30,5,2
74,14,11,0,0,27,36,1,159,6,4,11,0,1,16,28,8,49,11,5
75,25,20,5,5,7,8,0,17,8,0,4,1,3,9,8,19,18,2,2
76,25,16,0,0,23,33,1,40,6,0,14,6,0,13,2,20,35,7,3
77,18,14,1,1,4,4,0,5,5,0,0,6,0,3,2,9,6,0,0
78,28,18,1,2,21,10,0,8,2,0,3,2,0,2,6,14,20,3,0
79,37,19,0,0,13,11,5,20,4,1,6,0,4,2,6,14,22,5,0
80,77,33,1,3,11,43,0,70,13,1,47,24,0,36,4,55,118,6,0
81,9,5,0,0,2,6,0,6,0,0,0,1,0,2,1,5,10,2,0
82,107,64,10,15,106,51,1,44,23,0,13,2,7,13,31,35,60,7,8
